Year,uYear,Continent_ID,CountryID,CustomerID,SpeciesID,SpeciesGroup,U1Code,U1TypeID,CatID,CurrencyID,OrderNumber,RowNumber,CreateDate,DestDate,SellerID,AgentID,Total(Ton),Qunt
שנה,שנת ייצור,אזור,מדינה,לקוח,קוד זן,קבוצת זן,שימוש (סוג מוצר),סוג שימוש,"מק""ט",מטבע,מספר הזמנה,שורה,ת.יצירת שורה,ת.נדרש,קוד משווק,קוד סוכן,כמות בטון,
2008,2013,1,36,712440600,2,1,40,1,35542668,22,29008,1,01/05/2008,17/05/2008,R16,          ,16.2,35.56
2008,2013,1,36,712440600,2,1,40,1,35542668,22,29048,1,11/05/2008,24/05/2008,R16,          ,12.2,26.82
2008,2013,1,36,712440600,2,1,40,1,35542668,22,29134,1,18/05/2008,31/05/2008,R16,          ,20.1,44.31
2008,2013,1,36,712440600,2,1,40,1,35542668,22,29142,1,20/05/2008,21/06/2008,R16,          ,20.1,44.31
2008,2013,1,36,712440600,2,1,40,1,35542668,22,29222,1,29/05/2008,14/06/2008,R16,          ,20.1,44.31
2008,2013,1,36,712440600,2,1,40,1,35542668,22,29222,4,29/05/2008,13/09/2008,R16,          ,20.1,44.31
2008,2013,1,36,712440600,2,1,40,1,35542668,22,29222,5,29/05/2008,11/10/2008,R16,          ,20.1,44.31
2008,2013,1,36,712440600,2,1,40,1,35542668,22,29222,6,29/05/2008,01/11/2008,R16,          ,20.1,44.31
2008,2013,1,36,712440600,2,1,40,1,35542668,22,29629,1,22/07/2008,09/08/2008,R16,          ,6.9,15.16
2008,2013,1,36,712440600,2,1,40,1,35022668,22,29049,1,11/05/2008,24/05/2008,R16,          ,7.4,16.17
2008,2013,1,36,712440600,2,1,40,1,35022668,22,29628,1,22/07/2008,09/08/2008,R16,          ,12.3,26.95
2008,2013,1,36,712440600,2,1,103,5,32713424,22,29007,1,01/05/2008,17/05/2008,R16,          ,1.0,2.21
2008,2013,1,36,712440600,2,1,103,-,32473329,22,28521,1,05/03/2008,15/03/2008,R16,          ,0.0,0.03
2008,2013,1,36,712440600,2,1,103,-,32623436,22,28392,2,20/02/2008,15/03/2008,R16,          ,7.8,17.23
2008,2013,1,36,712440600,2,1,103,-,32623436,22,28392,3,20/02/2008,19/04/2008,R16,          ,1.2,2.65
2008,2013,1,36,712440600,2,1,103,-,32623436,22,28392,4,20/02/2008,29/11/2008,R16,          ,7.8,17.23
2008,2013,1,39,712312000,2,1,11,2,33442522,22,28472,1,27/02/2008,08/03/2008,R20,          ,12.0,26.40
2008,2013,1,39,712312000,2,1,91,4,39642514,22,28211,1,03/02/2008,09/02/2008,R20,          ,45.0,99.00
2008,2013,1,39,712312000,4,2,11,2,45232514,22,29634,1,23/07/2008,23/08/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,4,2,42,1,45882514,22,28852,1,08/04/2008,19/04/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,4,2,42,1,45082518,22,28326,1,12/02/2008,15/03/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,4,2,42,1,45082518,22,28326,2,12/02/2008,23/02/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,4,2,42,1,45082518,22,28326,3,12/02/2008,07/06/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,4,2,42,1,45082518,22,28326,4,12/02/2008,04/10/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,4,2,42,1,45102518,22,28471,1,27/02/2008,08/03/2008,R20,          ,12.0,26.40
2008,2013,1,39,712312000,4,2,42,1,45102518,22,28471,2,27/02/2008,07/06/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,4,2,42,1,45102518,22,28471,3,27/02/2008,07/06/2008,R20,          ,4.0,8.80
2008,2013,1,39,712312000,4,2,-,-,496125142,22,29475,2,06/07/2008,12/07/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,41,2,42,1,45846512,22,28474,1,27/02/2008,08/03/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,41,2,42,1,45846512,22,28474,2,27/02/2008,07/06/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,41,2,42,1,45846512,22,28474,3,27/02/2008,07/06/2008,R20,          ,2.0,4.40
2008,2013,1,39,712312000,41,2,42,1,45282518,22,28332,1,13/02/2008,23/02/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,41,2,42,1,45282518,22,28332,2,13/02/2008,15/03/2008,R20,          ,48.0,105.60
2008,2013,1,39,712312000,41,2,42,1,45282518,22,28332,3,13/02/2008,12/07/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,41,2,42,1,45282518,22,28332,4,13/02/2008,24/05/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,41,2,42,1,45282518,22,28332,5,13/02/2008,21/06/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,41,2,42,1,45282518,22,28332,6,13/02/2008,04/10/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,80,4,11,2,85622522,22,28481,1,28/02/2008,26/04/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,80,4,11,2,85622522,22,28481,2,28/02/2008,25/10/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,80,4,11,2,856215162,22,28480,1,28/02/2008,26/04/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,80,4,11,2,856215162,22,28480,2,28/02/2008,25/10/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,80,4,11,2,856215162,22,28480,3,28/02/2008,31/12/2008,R20,          ,24.0,52.80
2008,2013,1,39,712312000,84,4,11,2,83362522,22,28473,1,27/02/2008,08/03/2008,R20,          ,24.0,52.80
2008,2013,1,39,712314600,4,2,40,1,47052717,2,30121,1,15/10/2008,25/10/2008,R13,          ,19.5,42.90
2008,2013,1,39,712314600,4,2,40,1,47052717,2,30121,2,15/10/2008,08/11/2008,R13,          ,19.5,42.90
2008,2013,1,39,712314600,80,4,11,2,81621680,2,30063,1,05/10/2008,11/10/2008,R13,          ,60.2,132.34
2008,2013,1,39,712314600,80,4,40,1,862918182,2,30162,1,29/10/2008,08/11/2008,R13,          ,21.0,46.20
2008,2013,1,39,712314600,80,4,40,1,862317182,2,29051,1,11/05/2008,17/05/2008,R13,          ,8.2,18.07
2008,2013,1,39,712314600,80,4,40,1,863017182,2,28182,1,31/01/2008,08/03/2008,R13,          ,24.0,52.80
2008,2013,1,39,712314600,80,4,40,1,863017182,2,28182,2,31/01/2008,05/04/2008,R13,          ,24.0,52.80
2008,2013,1,39,712314600,80,4,40,1,862217182,2,28183,1,31/01/2008,01/03/2008,R13,          ,48.0,105.60
2008,2013,1,39,712314600,80,4,40,1,862217182,2,28183,2,31/01/2008,22/03/2008,R13,          ,96.0,211.20
2008,2013,1,39,712314600,80,4,40,1,862217182,2,28183,3,31/01/2008,05/04/2008,R13,          ,96.0,211.20
2008,2013,1,39,712314600,80,4,40,1,862217182,2,28183,4,31/01/2008,19/04/2008,R13,          ,96.0,211.20
2008,2013,1,39,712314600,80,4,40,1,862217182,2,28183,5,31/01/2008,03/05/2008,R13,          ,96.0,211.20
2008,2013,1,39,712314600,80,4,40,1,862217182,2,29608,1,20/07/2008,26/07/2008,R13,          ,42.4,93.28
2008,2013,1,39,712314600,80,4,40,1,862917182,2,28184,1,31/01/2008,09/02/2008,R13,          ,48.0,105.60
2008,2013,1,39,712314600,80,4,40,1,862917182,2,28184,2,31/01/2008,01/03/2008,R13,          ,48.0,105.60
2008,2013,1,39,712314600,80,4,40,1,862917182,2,28184,3,31/01/2008,22/03/2008,R13,          ,48.0,105.60
2008,2013,1,39,712314600,80,4,40,1,862917182,2,28184,4,31/01/2008,05/04/2008,R13,          ,48.0,105.60
2008,2013,1,39,712314600,80,4,40,1,862917182,2,29052,1,11/05/2008,17/05/2008,R13,          ,12.7,28.03
2008,2013,1,39,712314600,80,4,40,1,862917182,2,29052,2,11/05/2008,18/10/2008,R13,          ,20.8,45.76
2008,2013,1,40,712370300,2,1,40,1,25782718,2,28210,1,01/02/2008,16/02/2008,R19,712232900,18.6,40.81
2008,2013,1,40,712370300,2,1,40,1,25782718,2,28754,1,26/03/2008,05/04/2008,R19,712232900,18.6,40.81
2008,2013,1,40,712370300,2,1,40,1,25782718,2,29054,1,11/05/2008,24/05/2008,R19,712232900,18.6,40.81
2008,2013,1,40,712370300,41,2,40,1,46352718,2,28209,1,01/02/2008,16/02/2008,R19,712232900,18.2,40.04
2008,2013,1,40,712370300,41,2,40,1,46352718,2,29053,1,11/05/2008,24/05/2008,R19,712232900,18.2,40.04
2008,2013,1,40,712370300,48,2,30,1,47722718,2,28523,1,05/03/2008,22/03/2008,R19,712232900,18.6,40.81
